trading_day,rank,symbol,security_name,security_id,last_traded_price,closing_price,percentage_change,point_change,market_avg_pct_change,relative_strength
2026-09-11,20,SANVI,Sanvi Energy Limited,9263,580.0,580.0,4.5,25.0,1.94,2.56
2026-09-11,19,MHNL,Mountain Hydro Nepal Limited,2811,251.0,251.0,4.58,11.0,1.94,2.64
2026-09-11,18,DORDI,Dordi Khola Jal Bidyut Company Limited,8070,249.0,249.0,4.62,11.0,1.94,2.68
2026-09-11,17,MERO,Mero Microfinance Bittiya Sanstha Ltd.,1741,618.0,618.0,4.71,27.8,1.94,2.77
2026-09-11,16,MEHL,Manakamana Engineering Hydropower Limited,9203,244.0,244.0,4.77,11.1,1.94,2.83
2026-09-11,15,GMLI,Guardian Micro Life Insurance Limited ,9246,991.9,991.9,5.07,47.9,1.94,3.13
2026-09-11,14,ECL,Everest Colour Limited,9347,1342.9,1342.9,5.08,64.9,1.94,3.14
2026-09-11,13,HURJA,Himalaya Urja Bikas Company Limited,2824,247.0,247.0,5.11,12.0,1.94,3.17
2026-09-11,12,HATHY,Hathway Investment Nepal Limited,9213,609.0,609.0,5.56,32.1,1.94,3.62
2026-09-11,11,BGWT,Bhagawati Hydropower Development Company Limited,9214,476.0,476.0,5.57,25.1,1.94,3.63
2026-09-11,10,MCHL,Menchhiyam Hydropower Limited,9175,262.0,262.0,5.65,14.0,1.94,3.71
2026-09-11,9,SSHL,Shiva Shree Hydropower Ltd,2907,212.3,212.3,5.94,11.9,1.94,4.0
2026-09-11,8,RHGCL,Rapti Hydro And General Construction Limited,8108,261.1,261.1,6.18,15.2,1.94,4.24
2026-09-11,7,EBLD86,Everest Bank Limited,8044,1154.0,1154.0,6.64,71.9,1.94,4.7
2026-09-11,6,SBLD2091,7.25% SBL Debenture 2091,9271,1194.8,1194.8,6.78,75.9,1.94,4.84
2026-09-11,5,NCCD86,9.5% NCC Debenture 2086,2936,1241.0,1241.0,7.45,86.0,1.94,5.51
2026-09-11,4,SAPIL,Sarvottam Paints Industries Limited,9353,1370.0,1370.0,8.04,102.0,1.94,6.1
2026-09-11,3,SINDU,Sindhu Bikash Bank Ltd,561,394.0,394.0,9.54,34.3,1.94,7.6
2026-09-11,2,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,8117,1091.0,1091.0,10.09,100.0,1.94,8.15
2026-09-11,1,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,8063,2763.3,2763.3,10.53,263.3,1.94,8.59
2026-09-10,20,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,695,959.0,959.0,2.57,24.0,1.63,0.94
2026-09-10,19,PBD93,"6.25% Prime Bank Debenture, 2093",9354,1026.0,1026.0,2.6,26.0,1.63,0.97
2026-09-10,18,UNL,Unilever Nepal Limited,219,47200.0,47200.0,2.61,1200.0,1.63,0.98
2026-09-10,17,HLICF,HLI Large Cap Fund,9290,8.44,8.44,2.8,0.23,1.63,1.17
2026-09-10,16,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,2832,857.0,857.0,2.88,24.0,1.63,1.25
2026-09-10,15,CCBD88,Century Debenture 2088,8068,1210.0,1210.0,2.98,35.0,1.63,1.35
2026-09-10,14,NICGF2,NIC ASIA Growth Fund-2,9236,8.96,8.96,2.99,0.26,1.63,1.36
2026-09-10,13,NIFRAGED,Nifra Green Energy Debenture 6% - 2088/89,9261,1040.3,1040.3,3.0,30.3,1.63,1.37
2026-09-10,12,NABILD2089,7% Nabil Debenture 2089,9299,1100.0,1100.0,3.0,32.0,1.63,1.37
2026-09-10,11,C30MF,Citizens Super 30 Mutual Fund,9191,10.05,10.05,3.08,0.3,1.63,1.45
2026-09-10,10,SBLD2091,7.25% SBL Debenture 2091,9271,1118.9,1118.9,3.41,36.9,1.63,1.78
2026-09-10,9,GHL,Ghalemdi Hydro Limited,2806,235.9,235.9,3.46,7.9,1.63,1.83
2026-09-10,8,HDHPC,Himal Dolakha Hydropower Company Limited,2880,205.0,205.0,4.06,8.0,1.63,2.43
2026-09-10,7,JFL,Janaki Finance Company Limited,250,278.0,278.0,4.28,11.4,1.63,2.65
2026-09-10,6,CFCL,Central Finance Co. Ltd.,245,586.0,586.0,4.46,25.0,1.63,2.83
2026-09-10,5,SSHL,Shiva Shree Hydropower Ltd,2907,200.4,200.4,4.92,9.4,1.63,3.29
2026-09-10,4,ENL,Emerging Nepal Limited,8034,620.0,620.0,5.46,32.1,1.63,3.83
2026-09-10,3,ULHC,Upper Lohore Khola Hydropower Company Limited,9208,320.0,320.0,7.02,21.0,1.63,5.39
2026-09-10,2,DOLTI,Dolti Power Company Limited,9170,299.0,299.0,8.22,22.7,1.63,6.59
2026-09-10,1,LEC,Liberty Energy Company Limited,2903,246.1,246.1,15.0,32.1,1.63,13.37
2026-09-09,20,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,2815,1170.0,1170.0,2.18,25.0,1.36,0.82
2026-09-09,19,USHL,Upper Syange Hydropower Limited,9192,512.0,512.0,2.2,11.0,1.36,0.84
2026-09-09,18,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,2829,1380.0,1380.0,2.6,35.0,1.36,1.24
2026-09-09,17,TSHL,Three Star Hydropower Limited,9194,342.0,342.0,2.7,9.0,1.36,1.34
2026-09-09,16,SBCF,Sunrise Bluechip Fund,2937,9.29,9.29,2.77,0.25,1.36,1.41
2026-09-09,15,GBILD86/87,Global IME Bank Limited Debenture 2086/87,8004,1085.0,1085.0,2.84,30.0,1.36,1.48
2026-09-09,14,LUK,Laxmi Unnati Kosh,2902,9.78,9.78,2.95,0.28,1.36,1.59
2026-09-09,13,NICFC,NIC Asia Flexi CAP Fund,8073,9.03,9.03,2.96,0.26,1.36,1.6
2026-09-09,12,KBLD86,10.25% KBL Debenture 2086,2885,1177.0,1177.0,2.97,34.0,1.36,1.61
2026-09-09,11,BOKD86,8.5% BOK Debenture 2086,4961,1084.6,1084.6,2.99,31.5,1.36,1.63
2026-09-09,10,LSH12,LS Horizon 12,9350,9.22,9.22,3.02,0.27,1.36,1.66
2026-09-09,9,NCCD86,9.5% NCC Debenture 2086,2936,1155.0,1155.0,3.31,37.0,1.36,1.95
2026-09-09,8,MANDU,Mandu Hydropower Limited,9212,700.0,700.0,3.4,23.0,1.36,2.04
2026-09-09,7,RBBD83,8.5% RBBL Debenture 2083,8003,1045.0,1045.0,3.43,34.7,1.36,2.07
2026-09-09,6,SIPD,Shikhar power Development Limited,9329,611.8,611.8,3.5,20.7,1.36,2.14
2026-09-09,5,IHL,Ingwa Hydropower Limited,9176,302.9,302.9,3.66,10.7,1.36,2.3
2026-09-09,4,BHPL,Barahi Hydropower Public Limited,9135,457.0,457.0,5.79,25.0,1.36,4.43
2026-09-09,3,CBLD88,Civil Bank Debenture 2088,8043,1235.0,1235.0,5.94,69.3,1.36,4.58
2026-09-09,2,SPL,Shuvam Power Limited,9147,655.0,655.0,6.4,39.4,1.36,5.04
2026-09-09,1,ULHC,Upper Lohore Khola Hydropower Company Limited,9208,299.0,299.0,15.0,39.0,1.36,13.64
2026-09-07,20,SBLD2091,7.25% SBL Debenture 2091,9271,1090.0,1090.0,3.11,32.9,1.52,1.59
2026-09-07,19,GHL,Ghalemdi Hydro Limited,2806,228.0,228.0,3.17,7.0,1.52,1.65
2026-09-07,18,SGHL,Sanigad Hydro Limited,9345,499.3,499.3,3.78,18.2,1.52,2.26
2026-09-07,17,SMB,Support Microfinance Bittiya Sanstha Ltd.,2771,1785.0,1785.0,3.89,66.9,1.52,2.37
2026-09-07,16,RSML,Reliance Spinning Mills Limited,9306,2940.0,2940.0,3.89,110.0,1.52,2.37
2026-09-07,15,H8020,Himalayan 80-20,9221,12.48,12.48,4.0,0.48,1.52,2.48
2026-09-07,14,NICL,Nepal Insurance Co. Ltd.,176,436.9,436.9,4.02,16.9,1.52,2.5
2026-09-07,13,NLG,NLG Insurance Company Ltd.,559,514.5,514.5,4.15,20.5,1.52,2.63
2026-09-07,12,MABEL,Mabilung Energy Limited,9287,587.7,587.7,4.2,23.7,1.52,2.68
2026-09-07,11,SABBL,Salapa Bikas Bank Limited,9305,916.7,916.7,4.29,37.7,1.52,2.77
2026-09-07,10,RMF2,RBB Mutual Fund 2,9178,9.7,9.7,4.53,0.42,1.52,3.01
2026-09-07,9,SYPNL,SY Panel Nepal Limited,9303,1344.0,1344.0,4.92,63.0,1.52,3.4
2026-09-07,8,SICL,Shikhar Insurance Co. Ltd.,192,550.0,550.0,5.24,27.4,1.52,3.72
2026-09-07,7,RAWA,Rawa Energy Development Limited,9181,413.9,413.9,5.32,20.9,1.52,3.8
2026-09-07,6,GIBF1,Global IME Balanced Fund-1,8106,11.08,11.08,5.42,0.57,1.52,3.9
2026-09-07,5,SAGAR,Sagar Distillery Limited,9294,1593.0,1593.0,6.2,93.0,1.52,4.68
2026-09-07,4,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,593,820.0,820.0,6.22,48.0,1.52,4.7
2026-09-07,3,SAIL,Shreenagar Agritech Industries Limited,9301,1056.2,1056.2,6.26,62.2,1.52,4.74
2026-09-07,2,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,2815,1145.0,1145.0,7.35,78.4,1.52,5.83
2026-09-07,1,PURE,Pure Energy Limited,9258,761.3,761.3,15.0,99.3,1.52,13.48
2026-09-03,20,EBLD91,Everest Bank Limited Debenture 2091,9255,1133.0,1133.0,3.0,33.0,1.27,1.73
2026-09-03,19,KBLD86,10.25% KBL Debenture 2086,2885,1143.3,1143.3,3.0,33.3,1.27,1.73
2026-09-03,18,SBID89,9% Nepal SBI Bank Rinpatra 2089,9211,1163.9,1163.9,3.0,33.9,1.27,1.73
2026-09-03,17,CIZBD90,10% Citizens Bank Debenture 2090,9231,1261.7,1261.7,3.0,36.7,1.27,1.73
2026-09-03,16,MLBLD89,11% Mahalaxmi Debenture 2089,9195,1287.5,1287.5,3.0,37.5,1.27,1.73
2026-09-03,15,ULHC,Upper Lohore Khola Hydropower Company Limited,9208,300.0,300.0,3.09,9.0,1.27,1.82
2026-09-03,14,H8020,Himalayan 80-20,9221,12.0,12.0,3.27,0.38,1.27,2.0
2026-09-03,13,JBBD87,Jyoti Bikash Bank Bond 2087,8020,1170.0,1170.0,3.27,37.0,1.27,2.0
2026-09-03,12,CIT,Citizen Investment Trust,210,1719.9,1719.9,3.81,63.2,1.27,2.54
2026-09-03,11,MKCL,Muktinath Krishi Company Limited,9230,899.9,899.9,4.64,39.9,1.27,3.37
2026-09-03,10,NMBHF2,NMB Hybrid Fund L- II,9254,8.98,8.98,4.66,0.4,1.27,3.39
2026-09-03,9,NBF3,Nabil Balanced Fund-3,8024,9.54,9.54,4.72,0.43,1.27,3.45
2026-09-03,8,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,8063,2926.0,2926.0,4.87,136.0,1.27,3.6
2026-09-03,7,RSML,Reliance Spinning Mills Limited,9306,2830.0,2830.0,5.01,135.0,1.27,3.74
2026-09-03,6,RMF1,RBB Mutual Fund 1,4968,9.5,9.5,5.32,0.48,1.27,4.05
2026-09-03,5,MEPDL,Mount Everest Power Development Limited,9352,660.0,660.0,6.45,40.0,1.27,5.18
2026-09-03,4,MKHC,Maya Khola Hydropower Company Limited,9149,269.6,269.6,7.84,19.6,1.27,6.57
2026-09-03,3,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,2807,1190.0,1190.0,8.29,91.1,1.27,7.02
2026-09-03,2,CKHL,Chirkhwa Hydropower Limited ,9232,615.0,615.0,8.56,48.5,1.27,7.29
2026-09-03,1,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,2781,1055.0,1055.0,8.76,85.0,1.27,7.49
2026-09-02,20,ICFCD88,9% ICFC Finance Limited Debenture 2088,9249,1123.8,1123.8,3.0,32.7,1.36,1.64
2026-09-02,19,LBBLD89,11% L.B.B.L. Debenture 2089,9197,1267.9,1267.9,3.0,36.9,1.36,1.64
2026-09-02,18,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,8065,1574.9,1574.9,3.07,46.9,1.36,1.71
2026-09-02,17,SPC,Samling Power Company Limited,8025,397.0,397.0,3.12,12.0,1.36,1.76
2026-09-02,16,SKHEL,Suryakunda Hydro Electric Limited,9325,815.0,815.0,3.16,25.0,1.36,1.8
2026-09-02,15,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,8031,266.3,266.3,3.26,8.4,1.36,1.9
2026-09-02,14,SIGS2,Siddhartha Investment Growth Scheme - 2,2859,9.74,9.74,3.4,0.32,1.36,2.04
2026-09-02,13,NRN,NRN Infrastructure and Development Limited,2898,1410.0,1410.0,3.45,47.0,1.36,2.09
2026-09-02,12,HBLD86,"Himalayan Bank Limited Bond, 2086",9137,1155.0,1155.0,3.83,42.6,1.36,2.47
2026-09-02,11,BGWT,Bhagawati Hydropower Development Company Limited,9214,485.0,485.0,3.85,18.0,1.36,2.49
2026-09-02,10,SPL,Shuvam Power Limited,9147,664.0,664.0,4.08,26.0,1.36,2.72
2026-09-02,9,GBIME,Global IME Bank Limited,341,249.9,249.9,4.13,9.9,1.36,2.77
2026-09-02,8,NIBLGF,NIBL Growth Fund,9138,8.6,8.6,4.24,0.35,1.36,2.88
2026-09-02,7,MKJC,Mailung Khola Jal Vidhyut Company Limited,8005,297.4,297.4,4.39,12.5,1.36,3.03
2026-09-02,6,MKHC,Maya Khola Hydropower Company Limited,9149,250.0,250.0,5.93,14.0,1.36,4.57
2026-09-02,5,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,2841,178.8,178.8,5.99,10.1,1.36,4.63
2026-09-02,4,CFCL,Central Finance Co. Ltd.,245,635.0,635.0,9.11,53.0,1.36,7.75
2026-09-02,3,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,9161,5350.0,5350.0,10.1,491.0,1.36,8.74
2026-09-02,2,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,9217,381.4,381.4,10.23,35.4,1.36,8.87
2026-09-02,1,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,8063,2790.0,2790.0,11.87,296.0,1.36,10.51
2026-09-01,20,OHL,Oriental Hotels Limited,149,610.0,610.0,2.5,14.9,1.18,1.32
2026-09-01,19,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,2774,975.0,975.0,2.52,24.0,1.18,1.34
2026-09-01,18,SEF,Siddhartha Equity Fund,2770,9.45,9.45,2.61,0.24,1.18,1.43
2026-09-01,17,CHCL,Chilime Hydropower Company Limited,154,372.0,372.0,2.62,9.5,1.18,1.44
2026-09-01,16,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,2829,1355.7,1355.7,2.78,36.7,1.18,1.6
2026-09-01,15,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,8018,1028.0,1028.0,2.8,28.0,1.18,1.62
2026-09-01,14,KSY,Kumari Sabal Yojana,9241,9.1,9.1,2.82,0.25,1.18,1.64
2026-09-01,13,HATHY,Hathway Investment Nepal Limited,9213,617.4,617.4,2.9,17.4,1.18,1.72
2026-09-01,12,SPL,Shuvam Power Limited,9147,638.0,638.0,2.92,18.1,1.18,1.74
2026-09-01,11,VLUCL,Vision Lumbini Urja Company Limited ,9225,379.0,379.0,2.99,11.0,1.18,1.81
2026-09-01,10,MKJC,Mailung Khola Jal Vidhyut Company Limited,8005,284.9,284.9,3.11,8.6,1.18,1.93
2026-09-01,9,TAMOR,Sanima Middle Tamor Hydropower Limited,9156,495.0,495.0,3.13,15.0,1.18,1.95
2026-09-01,8,LUK,Laxmi Unnati Kosh,2902,9.42,9.42,3.29,0.3,1.18,2.11
2026-09-01,7,SBCF,Sunrise Bluechip Fund,2937,9.02,9.02,3.32,0.29,1.18,2.14
2026-09-01,6,MANDU,Mandu Hydropower Limited,9212,657.9,657.9,3.61,22.9,1.18,2.43
2026-09-01,5,MCHL,Menchhiyam Hydropower Limited,9175,247.6,247.6,3.69,8.8,1.18,2.51
2026-09-01,4,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,2842,239.9,239.9,3.81,8.8,1.18,2.63
2026-09-01,3,ENL,Emerging Nepal Limited,8034,822.0,822.0,4.85,38.0,1.18,3.67
2026-09-01,2,MBLEF,MBL Equity Fund,9257,9.0,9.0,5.88,0.5,1.18,4.7
2026-09-01,1,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,9217,346.0,346.0,7.15,23.1,1.18,5.97
2026-08-31,20,GBILD84/85,"Global IME Bank Debenture, 2084/85",9168,1150.0,1150.0,1.77,20.0,1.92,-0.15
2026-08-31,19,RSY,Reliable Samriddhi Yojana,9259,9.61,9.61,1.8,0.17,1.92,-0.12
2026-08-31,18,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,2842,231.1,231.1,1.81,4.1,1.92,-0.11
2026-08-31,17,C30MF,Citizens Super 30 Mutual Fund,9191,9.95,9.95,1.95,0.19,1.92,0.03
2026-08-31,16,SFEF,Sunrise Focused Equity Fund,9154,9.85,9.85,2.07,0.2,1.92,0.15
2026-08-31,15,SHIVM,SHIVAM CEMENTS LTD,2809,664.0,664.0,2.15,14.0,1.92,0.23
2026-08-31,14,SONA,Sonapur Minerals And Oil Limited,9216,416.9,416.9,2.18,8.9,1.92,0.26
2026-08-31,13,ENL,Emerging Nepal Limited,8034,784.0,784.0,2.62,20.0,1.92,0.7
2026-08-31,12,SARBTM,Sarbottam Cement Limited,9242,813.9,813.9,2.64,20.9,1.92,0.72
2026-08-31,11,HLICF,HLI Large Cap Fund,9290,8.5,8.5,2.66,0.22,1.92,0.74
