trading_day,rank,symbol,security_name,security_id,last_traded_price,total_trades
2026-09-02,20,RIDI,Ridi Power Company Limited,610,352.0,414
2026-09-02,19,GCIL,Ghorahi Cement Industry Limited,9193,386.0,416
2026-09-02,18,SAHAS,Sahas Urja Limited,8021,688.3,442
2026-09-02,17,HRL,Himalayan Reinsurance Limited,9234,519.0,460
2026-09-02,16,HBL,Himalayan Bank Limited,134,187.5,521
2026-09-02,15,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,9343,505.0,524
2026-09-02,14,SOPL,Sopan Pharmaceuticals Limited,9336,734.0,591
2026-09-02,13,NRN,NRN Infrastructure and Development Limited,2898,1410.0,593
2026-09-02,12,CHCL,Chilime Hydropower Company Limited,154,377.0,635
2026-09-02,11,KAHL,Kalanga Hydro Limited,9346,484.0,649
2026-09-02,10,PCIL,Palpa Cement Industries Limited,9330,628.0,675
2026-09-02,9,SMHL,Super Madi Hydropower Limited,9146,538.0,677
2026-09-02,8,SHIVM,SHIVAM CEMENTS LTD,2809,658.0,681
2026-09-02,7,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,2841,178.8,787
2026-09-02,6,TAMOR,Sanima Middle Tamor Hydropower Limited,9156,504.0,856
2026-09-02,5,GBIME,Global IME Bank Limited,341,249.9,954
2026-09-02,4,MEPDL,Mount Everest Power Development Limited,9352,620.0,958
2026-09-02,3,SGHL,Sanigad Hydro Limited,9345,483.1,1082
2026-09-02,2,SOHL,Solu Hydropower Limited,9311,663.0,1111
2026-09-02,1,SAPIL,Sarvottam Paints Industries Limited,9353,1230.0,2219
2026-09-01,20,SYPNL,SY Panel Nepal Limited,9303,1260.1,479
2026-09-01,19,NHPC,National Hydro Power Company Limited,152,251.8,483
2026-09-01,18,SAHAS,Sahas Urja Limited,8021,685.0,485
2026-09-01,17,YMHL,Yambaling Hydropower Limited,9342,569.0,497
2026-09-01,16,RIDI,Ridi Power Company Limited,610,347.7,531
2026-09-01,15,GCIL,Ghorahi Cement Industry Limited,9193,376.0,536
2026-09-01,14,TAMOR,Sanima Middle Tamor Hydropower Limited,9156,495.0,548
2026-09-01,13,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,2788,342.6,583
2026-09-01,12,HRL,Himalayan Reinsurance Limited,9234,516.0,599
2026-09-01,11,SOPL,Sopan Pharmaceuticals Limited,9336,731.2,600
2026-09-01,10,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,9343,498.5,626
2026-09-01,9,PCIL,Palpa Cement Industries Limited,9330,623.2,792
2026-09-01,8,KAHL,Kalanga Hydro Limited,9346,475.0,801
2026-09-01,7,SHIVM,SHIVAM CEMENTS LTD,2809,654.0,1037
2026-09-01,6,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,2841,168.7,1061
2026-09-01,5,SOHL,Solu Hydropower Limited,9311,659.0,1142
2026-09-01,4,CHCL,Chilime Hydropower Company Limited,154,372.0,1170
2026-09-01,3,MEPDL,Mount Everest Power Development Limited,9352,611.9,1312
