trading_day,rank,symbol,security_name,security_id,closing_price,shares_traded
2026-08-21,20,GHL,Ghalemdi Hydro Limited,2806,231.0,123745
2026-08-21,19,API,Api Power Company Ltd.,697,335.0,127525
2026-08-21,18,MEPDL,Mount Everest Power Development Limited,9352,774.0,130560
2026-08-21,17,NBL,Nepal Bank Limited,517,276.8,138444
2026-08-21,16,PCBLP,Prime Commercial Bank Promoter Share,544,103.0,142796
2026-08-21,15,SAHAS,Sahas Urja Limited,8021,695.0,162254
2026-08-21,14,GBIME,Global IME Bank Limited,341,246.2,162508
2026-08-21,13,MEHL,Manakamana Engineering Hydropower Limited,9203,244.0,167370
2026-08-21,12,SMHL,Super Madi Hydropower Limited,9146,517.0,167377
2026-08-21,11,KKHC,Khanikhola Hydropower Co. Ltd.,2751,269.9,179537
2026-08-21,10,MEN,Mountain Energy Nepal Limited,2913,626.3,179665
2026-08-21,9,LEC,Liberty Energy Company Limited,2903,217.3,197561
2026-08-21,8,NHPC,National Hydro Power Company Limited,152,265.8,200387
2026-08-21,7,TAMOR,Sanima Middle Tamor Hydropower Limited,9156,484.7,270640
2026-08-21,6,NSIF2,NMB Sulav Investment Fund - 2,8125,11.01,279240
2026-08-21,5,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,2788,348.9,303459
2026-08-21,4,SHPC,Sanima Mai Hydropower Ltd.,591,527.2,348089
2026-08-21,3,SOHL,Solu Hydropower Limited,9311,686.0,352814
2026-08-21,2,SIGS3,Siddhartha Investment Growth Scheme 3,9182,11.0,372573
2026-08-21,1,RIDI,Ridi Power Company Limited,610,359.9,513142
