rank,symbol,composite_score,conviction,tags,strategy_momentum_persistence,strategy_relative_strength,strategy_smart_money_accumulation,strategy_confluence_scoring,strategy_full_confluence,strategy_volume_leaders,strategy_transaction_activity,strategy_breakout_confirmation,strategy_volume_surge,strategy_risk-reward_quality
1,AKJCL,59.4,STRONG,STRONG | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | HIGH ACTIVITY | GOOD R:R,0.0,0,90.0,100,85,100.0,79.6,48.4,18.5,72.5
2,RIDI,58.8,STRONG,STRONG | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | HIGH ACTIVITY | GOOD R:R,0.0,0,90.0,100,85,100.0,86.2,42.4,12.2,72.5
3,SOHL,58.0,STRONG,STRONG | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | HIGH ACTIVITY,0.0,0,90.0,100,85,98.2,100.0,40.8,11.6,47.5
4,KKHC,56.8,STRONG,STRONG | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | GOOD R:R,16.5,16.7,75.0,100,94,84.9,42.4,39.7,6.9,72.5
5,NHPC,55.9,STRONG,STRONG | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | HIGH ACTIVITY | GOOD R:R,0.0,0,75.0,100,85,93.9,72.5,42.6,14.9,72.5
6,API,55.3,STRONG,STRONG | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | HIGH ACTIVITY,0.0,0,75.0,100,79,80.8,70.5,57.7,35,47.5
7,GCIL,55.2,STRONG,STRONG | ULTRA CONFLUENT | BREAKOUT | GOOD R:R,57.1,33.1,55.0,59,75,47.7,50.4,99.6,0,65.9
8,SAHAS,53.7,MODERATE,MODERATE | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | HIGH ACTIVITY | GOOD R:R,0.0,0,90.0,100,85,65.2,68.4,44.3,5.0,72.5
9,SMHL,53.7,MODERATE,MODERATE | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | HIGH ACTIVITY,16.3,16.4,75.0,100,94,53.8,64.6,43.1,0.0,47.5
10,TAMOR,52.3,MODERATE,MODERATE | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | GOOD R:R,0.0,0,90.0,100,85,79.0,32.0,45.0,5.0,72.5
11,SAPIL,50.6,MODERATE,MODERATE | MOMENTUM LEADER | CONFLUENT | ULTRA CONFLUENT | BREAKOUT | GOOD R:R,100.0,49.8,0,100,75,0,0,70.0,0,67.5
12,NGPL,48.7,MODERATE,MODERATE | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | BREAKOUT,0.0,0,85.0,100,69,59.1,0,62.6,45,47.5
13,SHIVM,47.3,MODERATE,MODERATE | INSTITUTIONAL BUYING | BREAKOUT | GOOD R:R,33.2,17.0,75.0,22,55,59.0,59.0,87.5,0,87.5
14,ECL,45.9,MODERATE,MODERATE | CONFLUENT | ULTRA CONFLUENT | GOOD R:R,52.9,33.2,0,84,60,0,56.7,57.6,25.8,87.5
15,SHPC,45.3,MODERATE,MODERATE | INSTITUTIONAL BUYING | ULTRA CONFLUENT,15.9,16.5,85.0,59,75,56.1,37.6,40.6,5.0,47.5
16,RSML,44.5,MODERATE,MODERATE | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | GOOD R:R,0.0,0,90.0,100,69,0,55.5,45.0,5.0,72.5
17,CHCL,44.5,MODERATE,MODERATE | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | HIGH ACTIVITY,0.0,0,70.0,84,60,73.0,73.0,37.3,8.5,32.5
18,MAKAR,44.4,MODERATE,MODERATE | INSTITUTIONAL BUYING | ULTRA CONFLUENT | VOLUME LEADER,21.2,17.2,70.0,59,75,73.0,44.0,32.0,0.8,32.5
19,RHPL,44.0,MODERATE,MODERATE | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | VOLUME LEADER | HIGH ACTIVITY,0.0,0,70.0,84,60,73.0,73.0,32.4,7.4,32.5
20,MEPDL,43.8,MODERATE,MODERATE | INSTITUTIONAL BUYING | CONFLUENT | ULTRA CONFLUENT | HIGH ACTIVITY | GOOD R:R,0.0,0,70.0,84,60,30.3,100.0,25.8,5.5,72.5
21,NSY,41.8,MODERATE,MODERATE | MOMENTUM LEADER | CONFLUENT | ULTRA CONFLUENT | GOOD R:R,64.8,33.4,0,100,69,0,0,44.3,0,72.5
22,SONA,41.6,MODERATE,MODERATE | BREAKOUT,44.1,17.3,55.0,22,55,48.3,52.6,70.2,0,57.5
23,RSY2,40.9,MODERATE,MODERATE | CONFLUENT | GOOD R:R,47.7,32.4,0,74,50,44.0,0,52.7,15.3,87.5
24,PCIL,39.9,WATCH,WATCH | HIGH ACTIVITY | BREAKOUT | GOOD R:R,32.4,17.2,0,52,40,0,83.3,71.5,43.1,87.5
25,KBL,38.8,WATCH,WATCH | VOLUME LEADER,0.0,0,55.0,52,40,85.5,44.2,51.2,25,47.5
26,SEF,38.2,WATCH,WATCH | CONFLUENT | BREAKOUT,32.5,32.2,0,74,50,56.6,0,70.1,0,47.5
27,SOPL,37.5,WATCH,WATCH | HIGH ACTIVITY | GOOD R:R,31.4,17.0,0,52,40,0,87.2,59.1,27.3,87.5
28,UHEWA,37.3,WATCH,WATCH | INSTITUTIONAL BUYING | BREAKOUT | GOOD R:R,39.4,19.0,75.0,52,40,0,0,70.0,0,74.2
29,KAHL,36.6,WATCH,WATCH | HIGH ACTIVITY | GOOD R:R,30.4,16.4,0,52,40,0,95.8,52.1,17.7,87.5
30,LEC,36.4,WATCH,WATCH | INSTITUTIONAL BUYING | CONFLUENT | VOLUME LEADER,0.0,0,70.0,74,50,62.0,0,42.0,6.3,47.5
31,SPHL,36.1,WATCH,WATCH | CONFLUENT | GOOD R:R,57.5,33.2,0,74,50,0,0,55.2,0,72.5
